FAMID	ID	PID	MID	SEX	POP	POP_SIMPLE	COUNTRY	SPOP	CONTINENT	ORDER	POP_ORDER	SPOP_ORDER	POP_COLOR	SPOP_COLOR
HG01593	HG01593	0	0	2	PJL	Punjabi	Pakistan	SAS	South_Asia	538	25	2	#e11289	#ff30ff
HG01595	HG01595	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	539	16	1	#00cc33	#adff33
HG01596	HG01596	0	0	1	KHV	Kinh	Vietnam	EAS	East_Asia	540	16	1	#00cc33	#adff33
HG01597	HG01597	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	541	16	1	#00cc33	#adff33
HG01598	HG01598	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	542	16	1	#00cc33	#adff33
HG01599	HG01599	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	543	16	1	#00cc33	#adff33
HG01600	HG01600	0	0	2	KHV	Kinh	Vietnam	EAS	East_Asia	544	16	1	#00cc33	#adff33
HG01602	HG01602	0	0	2	IBS	Iberian	Spain	EUR	Europe	545	20	4	#6495ed	#64ebff
HG01603	HG01603	0	0	1	IBS	Iberian	Spain	EUR	Europe	546	20	4	#6495ed	#64ebff
HG01605	HG01605	0	0	2	IBS	Iberian	Spain	EUR	Europe	547	20	4	#6495ed	#64ebff
HG01606	HG01606	0	0	1	IBS	Iberian	Spain	EUR	Europe	548	20	4	#6495ed	#64ebff
HG01607	HG01607	0	0	2	IBS	Iberian	Spain	EUR	Europe	549	20	4	#6495ed	#64ebff
HG01608	HG01608	0	0	1	IBS	Iberian	Spain	EUR	Europe	550	20	4	#6495ed	#64ebff
HG01610	HG01610	0	0	1	IBS	Iberian	Spain	EUR	Europe	551	20	4	#6495ed	#64ebff
HG01612	HG01612	0	0	2	IBS	Iberian	Spain	EUR	Europe	552	20	4	#6495ed	#64ebff
HG01613	HG01613	0	0	2	IBS	Iberian	Spain	EUR	Europe	553	20	4	#6495ed	#64ebff
HG01615	HG01615	0	0	1	IBS	Iberian	Spain	EUR	Europe	554	20	4	#6495ed	#64ebff
HG01617	HG01617	0	0	1	IBS	Iberian	Spain	EUR	Europe	555	20	4	#6495ed	#64ebff
HG01618	HG01618	0	0	2	IBS	Iberian	Spain	EUR	Europe	556	20	4	#6495ed	#64ebff
HG01619	HG01619	0	0	1	IBS	Iberian	Spain	EUR	Europe	557	20	4	#6495ed	#64ebff
HG01620	HG01620	0	0	2	IBS	Iberian	Spain	EUR	Europe	558	20	4	#6495ed	#64ebff
HG01623	HG01623	0	0	2	IBS	Iberian	Spain	EUR	Europe	559	20	4	#6495ed	#64ebff
HG01624	HG01624	0	0	1	IBS	Iberian	Spain	EUR	Europe	560	20	4	#6495ed	#64ebff
HG01625	HG01625	0	0	1	IBS	Iberian	Spain	EUR	Europe	561	20	4	#6495ed	#64ebff
HG01626	HG01626	0	0	2	IBS	Iberian	Spain	EUR	Europe	562	20	4	#6495ed	#64ebff
HG01628	HG01628	0	0	2	IBS	Iberian	Spain	EUR	Europe	563	20	4	#6495ed	#64ebff
HG01630	HG01630	0	0	1	IBS	Iberian	Spain	EUR	Europe	564	20	4	#6495ed	#64ebff
HG01631	HG01631	0	0	1	IBS	Iberian	Spain	EUR	Europe	565	20	4	#6495ed	#64ebff
HG01632	HG01632	0	0	2	IBS	Iberian	Spain	EUR	Europe	566	20	4	#6495ed	#64ebff
HG01668	HG01668	0	0	2	IBS	Iberian	Spain	EUR	Europe	567	20	4	#6495ed	#64ebff
HG01669	HG01669	0	0	1	IBS	Iberian	Spain	EUR	Europe	568	20	4	#6495ed	#64ebff
HG01670	HG01670	0	0	2	IBS	Iberian	Spain	EUR	Europe	569	20	4	#6495ed	#64ebff
HG01672	HG01672	0	0	1	IBS	Iberian	Spain	EUR	Europe	570	20	4	#6495ed	#64ebff
HG01673	HG01673	0	0	2	IBS	Iberian	Spain	EUR	Europe	571	20	4	#6495ed	#64ebff
HG01675	HG01675	0	0	1	IBS	Iberian	Spain	EUR	Europe	572	20	4	#6495ed	#64ebff
HG01676	HG01676	0	0	2	IBS	Iberian	Spain	EUR	Europe	573	20	4	#6495ed	#64ebff
HG01678	HG01678	0	0	1	IBS	Iberian	Spain	EUR	Europe	574	20	4	#6495ed	#64ebff
